year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,THA,Thailand,TH,Loei,TH42,205598,204374,409972,11818,11904,11517,10451,8381,9124,10942,12577,16011,17032,17933,17419,15628,13097,8498,5939,7327,12598,12432,12355,11238,9234,9969,10867,11997,16126,16983,17583,17037,14926,12471,7674,5027,5857,24416,24336,23872,21689,17615,19093,21809,24574,32137,34015,35516,34456,30554,25568,16172,10966,13184
2023,THA,Thailand,TH,Lop Buri,TH16,347206,340369,687575,16789,18365,18694,17067,14828,16869,18500,19602,25556,29371,29802,30096,26501,23031,17253,11491,13391,18390,19750,20154,19144,27538,19333,19084,18623,24144,27540,27628,26657,22501,18416,13644,9195,8628,35179,38115,38848,36211,42366,36202,37584,38225,49700,56911,57430,56753,49002,41447,30897,20686,22019
2023,THA,Thailand,TH,Mae Hong Son,TH58,86233,90072,176305,6119,7272,6826,5259,4255,5459,5397,5241,6063,6230,6056,6117,4749,3963,2821,2015,2391,6494,7715,6996,5465,4823,5729,5464,5303,6326,6734,6623,6182,4987,4078,2902,1938,2313,12613,14987,13822,10724,9078,11188,10861,10544,12389,12964,12679,12299,9736,8041,5723,3953,4704
2023,THA,Thailand,TH,Maha Sarakham,TH44,309747,285671,595418,16130,17486,18253,19418,15865,10481,13718,18243,23093,23308,24693,27543,28636,22699,13439,8481,8261,17048,18616,19284,18928,14775,11061,13112,16765,21809,22802,23655,24810,24156,18565,9908,5757,4620,33178,36102,37537,38346,30640,21542,26830,35008,44902,46110,48348,52353,52792,41264,23347,14238,12881
2023,THA,Thailand,TH,Mukdahan,TH49,181280,177781,359061,11534,12295,13147,10272,6490,8586,10297,12206,14346,14259,13815,13792,13086,10155,6996,4827,5177,12118,12609,13224,10963,7488,9408,10363,12019,14858,13945,13487,13292,11861,9099,5629,3580,3838,23652,24904,26371,21235,13978,17994,20660,24225,29204,28204,27302,27084,24947,19254,12625,8407,9015
2023,THA,Thailand,TH,Nakhon Nayok,TH26,111509,104925,216434,5484,5635,5560,7423,5744,5319,5629,5962,7521,8168,8427,9250,8373,7746,5879,3944,5445,6112,5803,6004,8080,7107,6179,5930,5827,7037,7889,7685,7823,6860,5903,4580,2980,3126,11596,11438,11564,15503,12851,11498,11559,11789,14558,16057,16112,17073,15233,13649,10459,6924,8571
2023,THA,Thailand,TH,Nakhon Pathom,TH73,534557,508167,1042724,24276,24312,25486,34925,34750,38429,39053,38040,41821,42997,41210,39021,33116,26557,20029,12917,17618,26057,26178,30186,37726,38232,40644,40553,36960,40673,39825,36047,33028,26800,20618,15407,9014,10219,50333,50490,55672,72651,72982,79073,79606,75000,82494,82822,77257,72049,59916,47175,35436,21931,27837
2023,THA,Thailand,TH,Nakhon Phanom,TH48,208199,196327,404526,14094,15184,14776,10756,6574,8465,11019,13278,15361,15543,16282,17021,16329,13526,8273,5550,6168,14510,15818,15350,11442,7621,8874,10734,12787,15089,15232,15042,15230,13756,10859,6104,3756,4123,28604,31002,30126,22198,14195,17339,21753,26065,30450,30775,31324,32251,30085,24385,14377,9306,10291
2023,THA,Thailand,TH,Nakhon Ratchasima,TH30,1167970,1119787,2287757,65461,66610,67034,65176,57433,60221,68871,71753,85931,89456,93074,90575,85212,70655,52687,34142,43679,69692,71264,72560,69660,65624,64526,69771,69925,84214,85746,85134,82789,74149,58638,43371,26078,26646,135153,137874,139594,134836,123057,124747,138642,141678,170145,175202,178208,173364,159361,129293,96058,60220,70325
2023,THA,Thailand,TH,Nakhon Sawan,TH60,396710,367256,763966,19102,19890,20499,19477,16247,17613,18555,21139,27870,33168,34710,36185,32791,27477,21596,13829,16562,20246,20977,21701,21454,17917,18701,18823,20665,26216,31031,30577,31536,27638,22133,17022,10466,10153,39348,40867,42200,40931,34164,36314,37378,41804,54086,64199,65287,67721,60429,49610,38618,24295,26715
2023,THA,Thailand,TH,Nakhon Si Thammarat,TH80,602894,577620,1180514,34549,35021,35067,32387,27074,30051,33323,36589,41362,43761,43555,44718,43743,40061,29873,21863,29897,36804,37995,37982,35304,31800,34376,34813,36549,41583,43449,40124,39795,36676,32442,23594,16194,18140,71353,73016,73049,67691,58874,64427,68136,73138,82945,87210,83679,84513,80419,72503,53467,38057,48037
2023,THA,Thailand,TH,Nan,TH55,190448,188751,379199,10106,10278,11513,9073,5218,6636,8105,9857,14978,18043,19125,18174,13879,13131,8829,6557,6946,10710,10821,11883,10670,6915,7455,7857,9255,14055,17912,18702,18303,13448,11940,7860,5673,5292,20816,21099,23396,19743,12133,14091,15962,19112,29033,35955,37827,36477,27327,25071,16689,12230,12238
2023,THA,Thailand,TH,Narathiwat,TH96,291226,287505,578731,23979,25574,23569,20207,17992,19794,17564,17101,18730,19332,16277,18012,16141,13259,10489,6322,6884,24980,26869,24399,21774,19428,20675,17298,16448,18652,19078,15888,17425,14838,11205,7941,5233,5374,48959,52443,47968,41981,37420,40469,34862,33549,37382,38410,32165,35437,30979,24464,18430,11555,12258
2023,THA,Thailand,TH,Nong Bua Lam Phu,TH39,212953,200429,413382,14581,15037,14887,10760,6322,8452,10754,13013,16044,16346,17618,18511,17526,13437,8429,5324,5912,15109,16256,15590,11410,7213,8361,9694,11686,15501,15756,16312,17131,14856,11460,6757,3792,3545,29690,31293,30477,22170,13535,16813,20448,24699,31545,32102,33930,35642,32382,24897,15186,9116,9457
